quote,author
"The best way to predict the future is to create it.","Peter Drucker"
"You miss 100% of the shots you don't take.","Wayne Gretzky"
"Whether you think you can or you think you can't, you're right.","Henry Ford"
"The only way to do great work is to love what you do.","Steve Jobs"
"Strive not to be a success, but rather to be of value.","Albert Einstein"
"Focus on being productive instead of busy.","Tim Ferriss"
"The successful warrior is the average man, with laser-like focus.","Bruce Lee"
"Concentrate all your thoughts upon the work in hand. The sun's rays do not burn until brought to a focus.","Alexander Graham Bell"
"It's not that I'm so smart, it's just that I stay with problems longer.","Albert Einstein"
"The key to success is to focus on goals, not obstacles.","Unknown"
"Where focus goes, energy flows.","Tony Robbins"
"Lack of direction, not lack of time, is the problem. We all have twenty-four hour days.","Zig Ziglar"
"Focus is a matter of deciding what things you're not going to do.","John Carmack"
"Starve your distractions, feed your focus.","Unknown"
"You will never reach your destination if you stop and throw stones at every dog that barks.","Winston Churchill"
"The main thing is to keep the main thing the main thing.","Stephen Covey"
"Your focus determines your reality.","George Lucas"
"Don't watch the clock-do what it does. Keep going.","Sam Levenson"
"The difference between successful people and very successful people is that very successful people say 'no' to almost everything.","Warren Buffett"
"Multitasking is the enemy of focus.","Unknown"
"What you stay focused on will grow.","Roy T. Bennett"
"Focus on the solution, not the problem.","Jim Rohn"
"Distractions are the enemy of progress.","Unknown"
"The shorter way to do many things is to only do one thing at a time.","Mozart"
"Simplicity is the ultimate sophistication.","Leonardo da Vinci"
"Decide what you want, decide what you are willing to exchange for it. Establish your priorities and go to work.","H. L. Hunt"
"The more you lose yourself in something bigger than yourself, the more energy you will have.","Norman Vincent Peale"
"Concentrate on what will produce results rather than on the results, the process rather than the prize.","Bill Walsh"
"Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment.","Buddha"
"One way to boost our will power and focus is to manage our distractions instead of letting them manage us.","Daniel Goleman"
"The ability to concentrate and to use time well is everything.","Lee Iacocca"
"Concentrate on your job and you will forget your other troubles.","William Feather"
"If you chase two rabbits, you will catch neither one.","Russian Proverb"
"The first rule of focus: Wherever you are, be there.","Unknown"
"Obstacles are those frightful things you see when you take your eyes off your goal.","Henry Ford"
"put all your eggs in one basket, and watch that basket.","Andrew Carnegie"
"The secret of change is to focus all of your energy, not on fighting the old, but on building the new.","Socrates"
"To do two things at once is to do neither.","Publilius Syrus"
"Most of what we say and do is not essential. If you can eliminate it, you'll have more time, and more tranquility.","Marcus Aurelius"
"The mind is just like a muscle - the more you exercise it, the stronger it gets and the more it can expand.","Idowu Koyenikan"
"Efficiency is doing things right-effectiveness is doing the right things.","Peter Drucker"
"You can always find a distraction if you're looking for one.","Tom Kite"
"The best way to capture moments is to pay attention. This is how we cultivate mindfulness.","Jon Kabat-Zinn"
"Attention is the rarest and purest form of generosity.","Simone Weil"
"The immature mind hops from one thing to another-the mature mind seeks to follow through.","Harry A. Overstreet"
"The world makes way for the man who knows where he is going.","Ralph Waldo Emerson"
"Productivity is never an accident. It is always the result of a commitment to excellence, intelligent planning, and focused effort.","Paul J. Meyer"
"Don't be afraid to give up the good to go for the great.","John D. Rockefeller"
"Success is not final, failure is not fatal: it is the courage to continue that counts.","Winston Churchill"
"The way to get started is to quit talking and begin doing.","Walt Disney"
"Discipline is choosing between what you want now and what you want most.","Abraham Lincoln"
"The most difficult thing is the decision to act, the rest is merely tenacity.","Amelia Earhart"
"Action is the foundational key to all success.","Pablo Picasso"
"The only limit to our realization of tomorrow will be our doubts of today.","Franklin D. Roosevelt"
"What you get by achieving your goals is not as important as what you become by achieving your goals.","Zig Ziglar"
